Season,Lg,Player,Voting,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999,award,Coach,W,L,W/L%,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Games
1974-75,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Kareem Abdul-Jabbar,Walt Frazier,John Havlicek,Paul Silas,Jerry Sloan,
1974-75,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Don Chaney,Dave Cowens,Elvin Hayes,Bob Love,Norm Van Lier,
1974-75,ABA,,,,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Don Buse,Artis Gilmore,Bobby Jones,Wil Jones,Brian Taylor,
1974-75,ABA,,,,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,,,,,,
1973-74,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Kareem Abdul-Jabbar,Dave DeBusschere,John Havlicek,Norm Van Lier,Walt Frazier Jerry Sloan (T),
1973-74,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Don Chaney,Elvin Hayes,Bob Love,Nate Thurmond,Jim Price Dick Van Arsdale (T),
1973-74,ABA,,,,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Artis Gilmore,Julius Keye,Ted McClain,Willie Wise,Mike Gale Fatty Taylor (T),
1973-74,ABA,,,,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,,,,,,
1972-73,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Wilt Chamberlain,Dave DeBusschere,Walt Frazier,John Havlicek,Jerry West,
1972-73,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Don Chaney,Mike Riordan,Paul Silas,Nate Thurmond,Norm Van Lier,
1972-73,ABA,,,,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Mike Gale,Artis Gilmore,Fatty Taylor,Willie Wise,Joe Caldwell Julius Keye (T),
1972-73,ABA,,,,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,,,,,,
1971-72,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Wilt Chamberlain,Dave DeBusschere,John Havlicek,Jerry West,Walt Frazier Jerry Sloan (T),
1971-72,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Don Chaney,Bob Love,Paul Silas,Nate Thurmond,Norm Van Lier,
1970-71,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Dave DeBusschere,Walt Frazier,Gus Johnson,Nate Thurmond,Jerry West,
1970-71,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Kareem Abdul-Jabbar,John Havlicek,Paul Silas,Jerry Sloan,Norm Van Lier,
1969-70,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Dave DeBusschere,Walt Frazier,Gus Johnson,Willis Reed,Jerry West,
1969-70,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Kareem Abdul-Jabbar,Bill Bridges,Joe Caldwell,John Havlicek,Jerry Sloan,
1968-69,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Dave DeBusschere,Walt Frazier,Bill Russell,Jerry Sloan,Nate Thurmond,
1968-69,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Bill Bridges,John Havlicek,Rudy LaRusso,Tom Sanders,Jerry West,
2024-25,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Nikola Jokić C,Giannis Antetokounmpo F,Jayson Tatum F,Shai Gilgeous-Alexander G,Donovan Mitchell G,
2024-25,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Evan Mobley C,LeBron James F,Stephen Curry G,Anthony Edwards G,Jalen Brunson G,
2024-25,NBA,,(V),,3rd,,,,,,,,,,,,,,all_league_teams,,,,,Karl-Anthony Towns C,Jalen Williams F,Cade Cunningham G,Tyrese Haliburton G,James Harden G,
2023-24,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Nikola Jokić C,Giannis Antetokounmpo F,Jayson Tatum F,Luka Dončić G,Shai Gilgeous-Alexander G,
2023-24,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Anthony Davis C,Kevin Durant F,Kawhi Leonard F,Jalen Brunson G,Anthony Edwards G,
2023-24,NBA,,(V),,3rd,,,,,,,,,,,,,,all_league_teams,,,,,LeBron James F,Domantas Sabonis F,Devin Booker G,Stephen Curry G,Tyrese Haliburton G,
2022-23,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Joel Embiid C,Giannis Antetokounmpo F,Jayson Tatum F,Luka Dončić G,Shai Gilgeous-Alexander G,
2022-23,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Nikola Jokić C,Jimmy Butler F,Jaylen Brown F,Donovan Mitchell G,Stephen Curry G,
2022-23,NBA,,(V),,3rd,,,,,,,,,,,,,,all_league_teams,,,,,Domantas Sabonis C,LeBron James F,Julius Randle F,De'Aaron Fox G,Damian Lillard G,
2021-22,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Nikola Jokić C,Giannis Antetokounmpo F,Jayson Tatum F,Luka Dončić G,Devin Booker G,
2021-22,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Joel Embiid C,Kevin Durant F,DeMar DeRozan F,Ja Morant G,Stephen Curry G,
2021-22,NBA,,(V),,3rd,,,,,,,,,,,,,,all_league_teams,,,,,Karl-Anthony Towns C,LeBron James F,Pascal Siakam F,Chris Paul G,Trae Young G,
2020-21,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Nikola Jokić C,Giannis Antetokounmpo F,Kawhi Leonard F,Stephen Curry G,Luka Dončić G,
2020-21,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Joel Embiid C,Julius Randle F,LeBron James F,Chris Paul G,Damian Lillard G,
2020-21,NBA,,(V),,3rd,,,,,,,,,,,,,,all_league_teams,,,,,Rudy Gobert C,Jimmy Butler F,Paul George F,Bradley Beal G,Kyrie Irving G,
2019-20,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Anthony Davis C,Giannis Antetokounmpo F,LeBron James F,James Harden G,Luka Dončić G,
2019-20,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Nikola Jokić C,Kawhi Leonard F,Pascal Siakam F,Damian Lillard G,Chris Paul G,
2019-20,NBA,,(V),,3rd,,,,,,,,,,,,,,all_league_teams,,,,,Rudy Gobert C,Jayson Tatum F,Jimmy Butler F,Ben Simmons G,Russell Westbrook G,
2018-19,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Nikola Jokić C,Giannis Antetokounmpo F,Paul George F,James Harden G,Stephen Curry G,
2018-19,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Joel Embiid C,Kevin Durant F,Kawhi Leonard F,Damian Lillard G,Kyrie Irving G,
2018-19,NBA,,(V),,3rd,,,,,,,,,,,,,,all_league_teams,,,,,Rudy Gobert C,LeBron James F,Blake Griffin F,Kemba Walker G,Russell Westbrook G,
2017-18,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Anthony Davis C,LeBron James F,Kevin Durant F,Damian Lillard G,James Harden G,
2017-18,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Joel Embiid C,Giannis Antetokounmpo F,LaMarcus Aldridge F,Russell Westbrook G,DeMar DeRozan G,
2017-18,NBA,,(V),,3rd,,,,,,,,,,,,,,all_league_teams,,,,,Karl-Anthony Towns C,Jimmy Butler F,Paul George F,Stephen Curry G,Victor Oladipo G,
2016-17,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Anthony Davis C,LeBron James F,Kawhi Leonard F,James Harden G,Russell Westbrook G,
2016-17,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Rudy Gobert C,Giannis Antetokounmpo F,Kevin Durant F,Stephen Curry G,Isaiah Thomas G,
2016-17,NBA,,(V),,3rd,,,,,,,,,,,,,,all_league_teams,,,,,DeAndre Jordan C,Draymond Green F,Jimmy Butler F,John Wall G,DeMar DeRozan G,
2015-16,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,DeAndre Jordan C,LeBron James F,Kawhi Leonard F,Stephen Curry G,Russell Westbrook G,
2015-16,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,DeMarcus Cousins C,Kevin Durant F,Draymond Green F,Chris Paul G,Damian Lillard G,
2015-16,NBA,,(V),,3rd,,,,,,,,,,,,,,all_league_teams,,,,,Andre Drummond C,Paul George F,LaMarcus Aldridge F,Klay Thompson G,Kyle Lowry G,
2014-15,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Marc Gasol C,LeBron James F,Anthony Davis F,Stephen Curry G,James Harden G,
2014-15,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,DeMarcus Cousins C,Pau Gasol C,LaMarcus Aldridge F,Russell Westbrook G,Chris Paul G,
2014-15,NBA,,(V),,3rd,,,,,,,,,,,,,,all_league_teams,,,,,DeAndre Jordan C,Blake Griffin F,Tim Duncan F,Klay Thompson G,Kyrie Irving G,
2013-14,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Joakim Noah C,Kevin Durant F,LeBron James F,James Harden G,Chris Paul G,
2013-14,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Dwight Howard C,Blake Griffin F,Kevin Love F,Stephen Curry G,Tony Parker G,
2013-14,NBA,,(V),,3rd,,,,,,,,,,,,,,all_league_teams,,,,,Al Jefferson C,Paul George F,LaMarcus Aldridge F,Goran Dragić G,Damian Lillard G,
2012-13,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Tim Duncan C,Kevin Durant F,LeBron James F,Kobe Bryant G,Chris Paul G,
2012-13,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Marc Gasol C,Carmelo Anthony F,Blake Griffin F,Tony Parker G,Russell Westbrook G,
2012-13,NBA,,(V),,3rd,,,,,,,,,,,,,,all_league_teams,,,,,Dwight Howard C,Paul George F,David Lee F,James Harden G,Dwyane Wade G,
2011-12,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Dwight Howard C,Kevin Durant F,LeBron James F,Kobe Bryant G,Chris Paul G,
2011-12,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Andrew Bynum C,Blake Griffin F,Kevin Love F,Tony Parker G,Russell Westbrook G,
2011-12,NBA,,(V),,3rd,,,,,,,,,,,,,,all_league_teams,,,,,Tyson Chandler C,Carmelo Anthony F,Dirk Nowitzki F,Rajon Rondo G,Dwyane Wade G,
2010-11,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Dwight Howard C,Kevin Durant F,LeBron James F,Kobe Bryant G,Derrick Rose G,
2010-11,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Amar'e Stoudemire C,Pau Gasol F,Dirk Nowitzki F,Dwyane Wade G,Russell Westbrook G,
2010-11,NBA,,(V),,3rd,,,,,,,,,,,,,,all_league_teams,,,,,Al Horford C,LaMarcus Aldridge F,Zach Randolph F,Manu Ginóbili G,Chris Paul G,
2009-10,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Dwight Howard C,Kevin Durant F,LeBron James F,Kobe Bryant G,Dwyane Wade G,
2009-10,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Amar'e Stoudemire C,Carmelo Anthony F,Dirk Nowitzki F,Steve Nash G,Deron Williams G,
2009-10,NBA,,(V),,3rd,,,,,,,,,,,,,,all_league_teams,,,,,Andrew Bogut C,Tim Duncan F,Pau Gasol F,Joe Johnson G,Brandon Roy G,
2008-09,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Dwight Howard C,LeBron James F,Dirk Nowitzki F,Kobe Bryant G,Dwyane Wade G,
2008-09,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Yao Ming C,Tim Duncan F,Paul Pierce F,Chris Paul G,Brandon Roy G,
2008-09,NBA,,(V),,3rd,,,,,,,,,,,,,,all_league_teams,,,,,Shaquille O'Neal C,Carmelo Anthony F,Pau Gasol F,Chauncey Billups G,Tony Parker G,
2007-08,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Dwight Howard C,Kevin Garnett F,LeBron James F,Kobe Bryant G,Chris Paul G,
2007-08,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Amar'e Stoudemire C,Tim Duncan F,Dirk Nowitzki F,Steve Nash G,Deron Williams G,
2007-08,NBA,,(V),,3rd,,,,,,,,,,,,,,all_league_teams,,,,,Yao Ming C,Carlos Boozer F,Paul Pierce F,Manu Ginóbili G,Tracy McGrady G,
2006-07,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Amar'e Stoudemire C,Tim Duncan F,Dirk Nowitzki F,Kobe Bryant G,Steve Nash G,
2006-07,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Yao Ming C,Chris Bosh F,LeBron James F,Gilbert Arenas G,Tracy McGrady G,
2006-07,NBA,,(V),,3rd,,,,,,,,,,,,,,all_league_teams,,,,,Dwight Howard C,Carmelo Anthony F,Kevin Garnett F,Chauncey Billups G,Dwyane Wade G,
2005-06,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Shaquille O'Neal C,LeBron James F,Dirk Nowitzki F,Kobe Bryant G,Steve Nash G,
2005-06,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Ben Wallace C,Elton Brand F,Tim Duncan F,Chauncey Billups G,Dwyane Wade G,
2005-06,NBA,,(V),,3rd,,,,,,,,,,,,,,all_league_teams,,,,,Yao Ming C,Carmelo Anthony F,Shawn Marion F,Gilbert Arenas G,Allen Iverson G,
2004-05,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Shaquille O'Neal C,Tim Duncan F,Dirk Nowitzki F,Allen Iverson G,Steve Nash G,
2004-05,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Amar'e Stoudemire C,Kevin Garnett F,LeBron James F,Ray Allen G,Dwyane Wade G,
2004-05,NBA,,(V),,3rd,,,,,,,,,,,,,,all_league_teams,,,,,Ben Wallace C,Shawn Marion F,Tracy McGrady F,Gilbert Arenas G,Kobe Bryant G,
2003-04,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Shaquille O'Neal C,Tim Duncan F,Kevin Garnett F,Kobe Bryant G,Jason Kidd G,
2003-04,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Ben Wallace C,Jermaine O'Neal F,Peja Stojaković F,Sam Cassell G,Tracy McGrady G,
2003-04,NBA,,(V),,3rd,,,,,,,,,,,,,,all_league_teams,,,,,Yao Ming C,Metta World Peace F,Dirk Nowitzki F,Baron Davis G,Michael Redd G,
2002-03,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Shaquille O'Neal C,Tim Duncan F,Kevin Garnett F,Kobe Bryant G,Tracy McGrady G,
2002-03,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Ben Wallace C,Dirk Nowitzki F,Chris Webber F,Allen Iverson G,Jason Kidd G,
2002-03,NBA,,(V),,3rd,,,,,,,,,,,,,,all_league_teams,,,,,Jermaine O'Neal C,Jamal Mashburn F,Paul Pierce F,Stephon Marbury G,Steve Nash G,
2001-02,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Shaquille O'Neal C,Tim Duncan F,Tracy McGrady F,Kobe Bryant G,Jason Kidd G,
2001-02,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Dirk Nowitzki C,Kevin Garnett F,Chris Webber F,Allen Iverson G,Gary Payton G,
2001-02,NBA,,(V),,3rd,,,,,,,,,,,,,,all_league_teams,,,,,Dikembe Mutombo C,Jermaine O'Neal F,Ben Wallace F,Steve Nash G,Paul Pierce G,
2000-01,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Shaquille O'Neal C,Tim Duncan F,Chris Webber F,Allen Iverson G,Jason Kidd G,
2000-01,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Dikembe Mutombo C,Vince Carter F,Kevin Garnett F,Kobe Bryant G,Tracy McGrady G,
2000-01,NBA,,(V),,3rd,,,,,,,,,,,,,,all_league_teams,,,,,David Robinson C,Karl Malone F,Dirk Nowitzki F,Ray Allen G,Gary Payton G,
1999-00,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Shaquille O'Neal C,Tim Duncan F,Kevin Garnett F,Jason Kidd G,Gary Payton G,
1999-00,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Alonzo Mourning C,Grant Hill F,Karl Malone F,Kobe Bryant G,Allen Iverson G,
1999-00,NBA,,(V),,3rd,,,,,,,,,,,,,,all_league_teams,,,,,David Robinson C,Vince Carter F,Chris Webber F,Eddie Jones G,Stephon Marbury G,
1998-99,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Alonzo Mourning C,Tim Duncan F,Karl Malone F,Allen Iverson G,Jason Kidd G,
1998-99,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Shaquille O'Neal C,Grant Hill F,Chris Webber F,Tim Hardaway G,Gary Payton G,
1998-99,NBA,,(V),,3rd,,,,,,,,,,,,,,all_league_teams,,,,,Hakeem Olajuwon C,Kevin Garnett F,Antonio McDyess F,Kobe Bryant G,John Stockton G,
1997-98,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Shaquille O'Neal C,Tim Duncan F,Karl Malone F,Michael Jordan G,Gary Payton G,
1997-98,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,David Robinson C,Vin Baker F,Grant Hill F,Tim Hardaway G,Rod Strickland G,
1997-98,NBA,,(V),,3rd,,,,,,,,,,,,,,all_league_teams,,,,,Dikembe Mutombo C,Scottie Pippen F,Glen Rice F,Reggie Miller G,Mitch Richmond G,
1996-97,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Hakeem Olajuwon C,Grant Hill F,Karl Malone F,Tim Hardaway G,Michael Jordan G,
1996-97,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Patrick Ewing C,Scottie Pippen F,Glen Rice F,Gary Payton G,Mitch Richmond G,
1996-97,NBA,,(V),,3rd,,,,,,,,,,,,,,all_league_teams,,,,,Shaquille O'Neal C,Vin Baker F,Anthony Mason F,Anfernee Hardaway G,John Stockton G,
1995-96,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,David Robinson C,Karl Malone F,Scottie Pippen F,Anfernee Hardaway G,Michael Jordan G,
1995-96,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Hakeem Olajuwon C,Grant Hill F,Shawn Kemp F,Gary Payton G,John Stockton G,
1995-96,NBA,,(V),,3rd,,,,,,,,,,,,,,all_league_teams,,,,,Shaquille O'Neal C,Charles Barkley F,Juwan Howard F,Reggie Miller G,Mitch Richmond G,
1994-95,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,David Robinson C,Karl Malone F,Scottie Pippen F,Anfernee Hardaway G,John Stockton G,
1994-95,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Shaquille O'Neal C,Charles Barkley F,Shawn Kemp F,Gary Payton G,Mitch Richmond G,
1994-95,NBA,,(V),,3rd,,,,,,,,,,,,,,all_league_teams,,,,,Hakeem Olajuwon C,Dennis Rodman F,Detlef Schrempf F,Clyde Drexler G,Reggie Miller G,
1993-94,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Hakeem Olajuwon C,Karl Malone F,Scottie Pippen F,Latrell Sprewell G,John Stockton G,
1993-94,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,David Robinson C,Charles Barkley F,Shawn Kemp F,Kevin Johnson G,Mitch Richmond G,
1993-94,NBA,,(V),,3rd,,,,,,,,,,,,,,all_league_teams,,,,,Shaquille O'Neal C,Derrick Coleman F,Dominique Wilkins F,Gary Payton G,Mark Price G,
1992-93,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Hakeem Olajuwon C,Charles Barkley F,Karl Malone F,Michael Jordan G,Mark Price G,
1992-93,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Patrick Ewing C,Larry Johnson F,Dominique Wilkins F,Joe Dumars G,John Stockton G,
1992-93,NBA,,(V),,3rd,,,,,,,,,,,,,,all_league_teams,,,,,David Robinson C,Derrick Coleman F,Scottie Pippen F,Tim Hardaway G,Dražen Petrović G,
1991-92,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,David Robinson C,Karl Malone F,Chris Mullin F,Clyde Drexler G,Michael Jordan G,
1991-92,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Patrick Ewing C,Charles Barkley F,Scottie Pippen F,Tim Hardaway G,John Stockton G,
1991-92,NBA,,(V),,3rd,,,,,,,,,,,,,,all_league_teams,,,,,Brad Daugherty C,Dennis Rodman F,Kevin Willis F,Kevin Johnson G,Mark Price G,
1990-91,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,David Robinson C,Charles Barkley F,Karl Malone F,Magic Johnson G,Michael Jordan G,
1990-91,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Patrick Ewing C,Chris Mullin F,Dominique Wilkins F,Clyde Drexler G,Kevin Johnson G,
1990-91,NBA,,(V),,3rd,,,,,,,,,,,,,,all_league_teams,,,,,Hakeem Olajuwon C,Bernard King F,James Worthy F,Joe Dumars G,John Stockton G,
1989-90,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Patrick Ewing C,Charles Barkley F,Karl Malone F,Magic Johnson G,Michael Jordan G,
1989-90,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Hakeem Olajuwon C,Larry Bird F,Tom Chambers F,Kevin Johnson G,John Stockton G,
1989-90,NBA,,(V),,3rd,,,,,,,,,,,,,,all_league_teams,,,,,David Robinson C,Chris Mullin F,James Worthy F,Clyde Drexler G,Joe Dumars G,
1988-89,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Hakeem Olajuwon C,Charles Barkley F,Karl Malone F,Magic Johnson G,Michael Jordan G,
1988-89,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Patrick Ewing C,Tom Chambers F,Chris Mullin F,Kevin Johnson G,John Stockton G,
1988-89,NBA,,(V),,3rd,,,,,,,,,,,,,,all_league_teams,,,,,Robert Parish C,Terry Cummings F,Dominique Wilkins F,Dale Ellis G,Mark Price G,
1987-88,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Hakeem Olajuwon C,Charles Barkley F,Larry Bird F,Magic Johnson G,Michael Jordan G,
1987-88,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Patrick Ewing C,Karl Malone F,Dominique Wilkins F,Clyde Drexler G,John Stockton G,
1986-87,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Hakeem Olajuwon C,Larry Bird F,Kevin McHale F,Magic Johnson G,Michael Jordan G,
1986-87,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Moses Malone C,Charles Barkley F,Dominique Wilkins F,Fat Lever G,Isiah Thomas G,
1985-86,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Kareem Abdul-Jabbar C,Larry Bird F,Dominique Wilkins F,Magic Johnson G,Isiah Thomas G,
1985-86,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Hakeem Olajuwon C,Charles Barkley F,Alex English F,Sidney Moncrief G,Alvin Robertson G,
1984-85,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Moses Malone C,Larry Bird F,Bernard King F,Magic Johnson G,Isiah Thomas G,
1984-85,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Kareem Abdul-Jabbar C,Terry Cummings F,Ralph Sampson F,Michael Jordan G,Sidney Moncrief G,
1983-84,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Kareem Abdul-Jabbar C,Larry Bird F,Bernard King F,Magic Johnson G,Isiah Thomas G,
1983-84,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Moses Malone C,Adrian Dantley F,Julius Erving F,Sidney Moncrief G,Jim Paxson G,
1982-83,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Moses Malone C,Larry Bird F,Julius Erving F,Magic Johnson G,Sidney Moncrief G,
1982-83,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Kareem Abdul-Jabbar C,Alex English F,Buck Williams F,George Gervin G,Isiah Thomas G,
1981-82,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Moses Malone C,Larry Bird F,Julius Erving F,George Gervin G,Gus Williams G,
1981-82,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Robert Parish C,Alex English F,Bernard King F,Magic Johnson G,Sidney Moncrief G,
1980-81,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Kareem Abdul-Jabbar C,Larry Bird F,Julius Erving F,George Gervin G,Dennis Johnson G,
1980-81,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Moses Malone C,Adrian Dantley F,Marques Johnson F,Tiny Archibald G,Otis Birdsong G,
1979-80,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Kareem Abdul-Jabbar C,Larry Bird F,Julius Erving F,George Gervin G,Paul Westphal G,
1979-80,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Moses Malone C,Marques Johnson F,Dan Roundfield F,Dennis Johnson G,Gus Williams G,
1978-79,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Moses Malone C,Elvin Hayes F,Marques Johnson F,George Gervin G,Paul Westphal G,
1978-79,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Kareem Abdul-Jabbar C,Bob Dandridge F,Walter Davis F,Phil Ford G,World B. Free G,
1977-78,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Bill Walton C,Julius Erving F,Truck Robinson F,George Gervin G,David Thompson G,
1977-78,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Kareem Abdul-Jabbar C,Walter Davis F,Maurice Lucas F,Pete Maravich G,Paul Westphal G,
1976-77,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Kareem Abdul-Jabbar C,Elvin Hayes F,David Thompson F,Pete Maravich G,Paul Westphal G,
1976-77,NBA,,(V),,2nd,,,,,,,,,,,,,,all_league_teams,,,,,Bill Walton C,Julius Erving F,George McGinnis F,George Gervin G,Jo Jo White G,
1975-76,NBA,,(V),,1st,,,,,,,,,,,,,,all_league_teams,,,,,Kareem Abdul-Jabbar C,Rick Barry F,George McGinnis F,Tiny Archibald G,Pete Maravich G,
