season,team_id,team,game_id,game_date,away_team,home_team,opponent_id,pf,opp_pf,wl,differential,round,game_no_in_series
2015-16,1610612766,CHA,41500126,2016-04-29,MIA,CHA,1610612748,90,97,L,-7,rnd1,6
2015-16,1610612766,CHA,41500127,2016-05-01,CHA,MIA,1610612748,73,106,L,-33,rnd1,7
2015-16,1610612739,CLE,41500101,2016-04-17,DET,CLE,1610612765,106,101,W,5,rnd1,1
2015-16,1610612739,CLE,41500102,2016-04-20,DET,CLE,1610612765,107,90,W,17,rnd1,2
2015-16,1610612739,CLE,41500103,2016-04-22,CLE,DET,1610612765,101,91,W,10,rnd1,3
2015-16,1610612739,CLE,41500104,2016-04-24,CLE,DET,1610612765,100,98,W,2,rnd1,4
2015-16,1610612739,CLE,41500201,2016-05-02,ATL,CLE,1610612737,104,93,W,11,sf,1
2015-16,1610612739,CLE,41500202,2016-05-04,ATL,CLE,1610612737,123,98,W,25,sf,2
2015-16,1610612739,CLE,41500203,2016-05-06,CLE,ATL,1610612737,121,108,W,13,sf,3
2015-16,1610612739,CLE,41500204,2016-05-08,CLE,ATL,1610612737,100,99,W,1,sf,4
2015-16,1610612739,CLE,41500301,2016-05-17,TOR,CLE,1610612761,115,84,W,31,conf,1
2015-16,1610612739,CLE,41500302,2016-05-19,TOR,CLE,1610612761,108,89,W,19,conf,2
2015-16,1610612739,CLE,41500303,2016-05-21,CLE,TOR,1610612761,84,99,L,-15,conf,3
2015-16,1610612739,CLE,41500304,2016-05-23,CLE,TOR,1610612761,99,105,L,-6,conf,4
2015-16,1610612739,CLE,41500305,2016-05-25,TOR,CLE,1610612761,116,78,W,38,conf,5
2015-16,1610612739,CLE,41500306,2016-05-27,CLE,TOR,1610612761,113,87,W,26,conf,6
2015-16,1610612739,CLE,41500401,2016-06-02,CLE,GSW,1610612744,89,104,L,-15,finals,1
2015-16,1610612739,CLE,41500402,2016-06-05,CLE,GSW,1610612744,77,110,L,-33,finals,2
2015-16,1610612739,CLE,41500403,2016-06-08,GSW,CLE,1610612744,120,90,W,30,finals,3
2015-16,1610612739,CLE,41500404,2016-06-10,GSW,CLE,1610612744,97,108,L,-11,finals,4
2015-16,1610612739,CLE,41500405,2016-06-13,CLE,GSW,1610612744,112,97,W,15,finals,5
2015-16,1610612739,CLE,41500406,2016-06-16,GSW,CLE,1610612744,115,101,W,14,finals,6
2015-16,1610612739,CLE,41500407,2016-06-19,CLE,GSW,1610612744,93,89,W,4,finals,7
2015-16,1610612742,DAL,41500161,2016-04-16,DAL,OKC,1610612760,70,108,L,-38,rnd1,1
2015-16,1610612742,DAL,41500162,2016-04-18,DAL,OKC,1610612760,85,84,W,1,rnd1,2
2015-16,1610612742,DAL,41500163,2016-04-21,OKC,DAL,1610612760,102,131,L,-29,rnd1,3
2015-16,1610612742,DAL,41500164,2016-04-23,OKC,DAL,1610612760,108,119,L,-11,rnd1,4
2015-16,1610612742,DAL,41500165,2016-04-25,DAL,OKC,1610612760,104,118,L,-14,rnd1,5
2015-16,1610612765,DET,41500101,2016-04-17,DET,CLE,1610612739,101,106,L,-5,rnd1,1
2015-16,1610612765,DET,41500102,2016-04-20,DET,CLE,1610612739,90,107,L,-17,rnd1,2
2015-16,1610612765,DET,41500103,2016-04-22,CLE,DET,1610612739,91,101,L,-10,rnd1,3
2015-16,1610612765,DET,41500104,2016-04-24,CLE,DET,1610612739,98,100,L,-2,rnd1,4
2015-16,1610612744,GSW,41500141,2016-04-16,HOU,GSW,1610612745,104,78,W,26,rnd1,1
2015-16,1610612744,GSW,41500142,2016-04-18,HOU,GSW,1610612745,115,106,W,9,rnd1,2
2015-16,1610612744,GSW,41500143,2016-04-21,GSW,HOU,1610612745,96,97,L,-1,rnd1,3
2015-16,1610612744,GSW,41500144,2016-04-24,GSW,HOU,1610612745,121,94,W,27,rnd1,4
2015-16,1610612744,GSW,41500145,2016-04-27,HOU,GSW,1610612745,114,81,W,33,rnd1,5
2015-16,1610612744,GSW,41500221,2016-05-01,POR,GSW,1610612757,118,106,W,12,sf,1
2015-16,1610612744,GSW,41500222,2016-05-03,POR,GSW,1610612757,110,99,W,11,sf,2
2015-16,1610612744,GSW,41500223,2016-05-07,GSW,POR,1610612757,108,120,L,-12,sf,3
2015-16,1610612744,GSW,41500224,2016-05-09,GSW,POR,1610612757,132,125,W,7,sf,4
2015-16,1610612744,GSW,41500225,2016-05-11,POR,GSW,1610612757,125,121,W,4,sf,5
2015-16,1610612744,GSW,41500311,2016-05-16,OKC,GSW,1610612760,102,108,L,-6,conf,1
2015-16,1610612744,GSW,41500312,2016-05-18,OKC,GSW,1610612760,118,91,W,27,conf,2
2015-16,1610612744,GSW,41500313,2016-05-22,GSW,OKC,1610612760,105,133,L,-28,conf,3
2015-16,1610612744,GSW,41500314,2016-05-24,GSW,OKC,1610612760,94,118,L,-24,conf,4
2015-16,1610612744,GSW,41500315,2016-05-26,OKC,GSW,1610612760,120,111,W,9,conf,5
2015-16,1610612744,GSW,41500316,2016-05-28,GSW,OKC,1610612760,108,101,W,7,conf,6
2015-16,1610612744,GSW,41500317,2016-05-30,OKC,GSW,1610612760,96,88,W,8,conf,7
2015-16,1610612744,GSW,41500401,2016-06-02,CLE,GSW,1610612739,104,89,W,15,finals,1
2015-16,1610612744,GSW,41500402,2016-06-05,CLE,GSW,1610612739,110,77,W,33,finals,2
2015-16,1610612744,GSW,41500403,2016-06-08,GSW,CLE,1610612739,90,120,L,-30,finals,3
2015-16,1610612744,GSW,41500404,2016-06-10,GSW,CLE,1610612739,108,97,W,11,finals,4
2015-16,1610612744,GSW,41500405,2016-06-13,CLE,GSW,1610612739,97,112,L,-15,finals,5
2015-16,1610612744,GSW,41500406,2016-06-16,GSW,CLE,1610612739,101,115,L,-14,finals,6
2015-16,1610612744,GSW,41500407,2016-06-19,CLE,GSW,1610612739,89,93,L,-4,finals,7
2015-16,1610612745,HOU,41500141,2016-04-16,HOU,GSW,1610612744,78,104,L,-26,rnd1,1
2015-16,1610612745,HOU,41500142,2016-04-18,HOU,GSW,1610612744,106,115,L,-9,rnd1,2
2015-16,1610612745,HOU,41500143,2016-04-21,GSW,HOU,1610612744,97,96,W,1,rnd1,3
2015-16,1610612745,HOU,41500144,2016-04-24,GSW,HOU,1610612744,94,121,L,-27,rnd1,4
2015-16,1610612745,HOU,41500145,2016-04-27,HOU,GSW,1610612744,81,114,L,-33,rnd1,5
2015-16,1610612754,IND,41500111,2016-04-16,IND,TOR,1610612761,100,90,W,10,rnd1,1
2015-16,1610612754,IND,41500112,2016-04-18,IND,TOR,1610612761,87,98,L,-11,rnd1,2
2015-16,1610612754,IND,41500113,2016-04-21,TOR,IND,1610612761,85,101,L,-16,rnd1,3
2015-16,1610612754,IND,41500114,2016-04-23,TOR,IND,1610612761,100,83,W,17,rnd1,4
2015-16,1610612754,IND,41500115,2016-04-26,IND,TOR,1610612761,99,102,L,-3,rnd1,5
2015-16,1610612754,IND,41500116,2016-04-29,TOR,IND,1610612761,101,83,W,18,rnd1,6
2015-16,1610612754,IND,41500117,2016-05-01,IND,TOR,1610612761,84,89,L,-5,rnd1,7
2015-16,1610612746,LAC,41500171,2016-04-17,POR,LAC,1610612757,115,95,W,20,rnd1,1
2015-16,1610612746,LAC,41500172,2016-04-20,POR,LAC,1610612757,102,81,W,21,rnd1,2
2015-16,1610612746,LAC,41500173,2016-04-23,LAC,POR,1610612757,88,96,L,-8,rnd1,3
2015-16,1610612746,LAC,41500174,2016-04-25,LAC,POR,1610612757,84,98,L,-14,rnd1,4
2015-16,1610612746,LAC,41500175,2016-04-27,POR,LAC,1610612757,98,108,L,-10,rnd1,5
2015-16,1610612746,LAC,41500176,2016-04-29,LAC,POR,1610612757,103,106,L,-3,rnd1,6
2015-16,1610612763,MEM,41500151,2016-04-17,MEM,SAS,1610612759,74,106,L,-32,rnd1,1
2015-16,1610612763,MEM,41500152,2016-04-19,MEM,SAS,1610612759,68,94,L,-26,rnd1,2
2015-16,1610612763,MEM,41500153,2016-04-22,SAS,MEM,1610612759,87,96,L,-9,rnd1,3
2015-16,1610612763,MEM,41500154,2016-04-24,SAS,MEM,1610612759,95,116,L,-21,rnd1,4
2015-16,1610612748,MIA,41500121,2016-04-17,CHA,MIA,1610612766,123,91,W,32,rnd1,1
2015-16,1610612748,MIA,41500122,2016-04-20,CHA,MIA,1610612766,115,103,W,12,rnd1,2
2015-16,1610612748,MIA,41500123,2016-04-23,MIA,CHA,1610612766,80,96,L,-16,rnd1,3
2015-16,1610612748,MIA,41500124,2016-04-25,MIA,CHA,1610612766,85,89,L,-4,rnd1,4
2015-16,1610612748,MIA,41500125,2016-04-27,CHA,MIA,1610612766,88,90,L,-2,rnd1,5
2015-16,1610612748,MIA,41500126,2016-04-29,MIA,CHA,1610612766,97,90,W,7,rnd1,6
2015-16,1610612748,MIA,41500127,2016-05-01,CHA,MIA,1610612766,106,73,W,33,rnd1,7
2015-16,1610612748,MIA,41500211,2016-05-03,MIA,TOR,1610612761,102,96,W,6,sf,1
2015-16,1610612748,MIA,41500212,2016-05-05,MIA,TOR,1610612761,92,96,L,-4,sf,2
2015-16,1610612748,MIA,41500213,2016-05-07,TOR,MIA,1610612761,91,95,L,-4,sf,3
2015-16,1610612748,MIA,41500214,2016-05-09,TOR,MIA,1610612761,94,87,W,7,sf,4
2015-16,1610612748,MIA,41500215,2016-05-11,MIA,TOR,1610612761,91,99,L,-8,sf,5
2015-16,1610612748,MIA,41500216,2016-05-13,TOR,MIA,1610612761,103,91,W,12,sf,6
2015-16,1610612748,MIA,41500217,2016-05-15,MIA,TOR,1610612761,89,116,L,-27,sf,7
2015-16,1610612760,OKC,41500161,2016-04-16,DAL,OKC,1610612742,108,70,W,38,rnd1,1
2015-16,1610612760,OKC,41500162,2016-04-18,DAL,OKC,1610612742,84,85,L,-1,rnd1,2
2015-16,1610612760,OKC,41500163,2016-04-21,OKC,DAL,1610612742,131,102,W,29,rnd1,3
2015-16,1610612760,OKC,41500164,2016-04-23,OKC,DAL,1610612742,119,108,W,11,rnd1,4
2015-16,1610612760,OKC,41500165,2016-04-25,DAL,OKC,1610612742,118,104,W,14,rnd1,5
2015-16,1610612760,OKC,41500231,2016-04-30,OKC,SAS,1610612759,92,124,L,-32,sf,1
2015-16,1610612760,OKC,41500232,2016-05-02,OKC,SAS,1610612759,98,97,W,1,sf,2
2015-16,1610612760,OKC,41500233,2016-05-06,SAS,OKC,1610612759,96,100,L,-4,sf,3
2015-16,1610612760,OKC,41500234,2016-05-08,SAS,OKC,1610612759,111,97,W,14,sf,4
2015-16,1610612760,OKC,41500235,2016-05-10,OKC,SAS,1610612759,95,91,W,4,sf,5
2015-16,1610612760,OKC,41500236,2016-05-12,SAS,OKC,1610612759,113,99,W,14,sf,6
2015-16,1610612760,OKC,41500311,2016-05-16,OKC,GSW,1610612744,108,102,W,6,conf,1
2015-16,1610612760,OKC,41500312,2016-05-18,OKC,GSW,1610612744,91,118,L,-27,conf,2
2015-16,1610612760,OKC,41500313,2016-05-22,GSW,OKC,1610612744,133,105,W,28,conf,3
2015-16,1610612760,OKC,41500314,2016-05-24,GSW,OKC,1610612744,118,94,W,24,conf,4
2015-16,1610612760,OKC,41500315,2016-05-26,OKC,GSW,1610612744,111,120,L,-9,conf,5
2015-16,1610612760,OKC,41500316,2016-05-28,GSW,OKC,1610612744,101,108,L,-7,conf,6
2015-16,1610612760,OKC,41500317,2016-05-30,OKC,GSW,1610612744,88,96,L,-8,conf,7
2015-16,1610612757,POR,41500171,2016-04-17,POR,LAC,1610612746,95,115,L,-20,rnd1,1
2015-16,1610612757,POR,41500172,2016-04-20,POR,LAC,1610612746,81,102,L,-21,rnd1,2
2015-16,1610612757,POR,41500173,2016-04-23,LAC,POR,1610612746,96,88,W,8,rnd1,3
2015-16,1610612757,POR,41500174,2016-04-25,LAC,POR,1610612746,98,84,W,14,rnd1,4
2015-16,1610612757,POR,41500175,2016-04-27,POR,LAC,1610612746,108,98,W,10,rnd1,5
2015-16,1610612757,POR,41500176,2016-04-29,LAC,POR,1610612746,106,103,W,3,rnd1,6
2015-16,1610612757,POR,41500221,2016-05-01,POR,GSW,1610612744,106,118,L,-12,sf,1
2015-16,1610612757,POR,41500222,2016-05-03,POR,GSW,1610612744,99,110,L,-11,sf,2
2015-16,1610612757,POR,41500223,2016-05-07,GSW,POR,1610612744,120,108,W,12,sf,3
2015-16,1610612757,POR,41500224,2016-05-09,GSW,POR,1610612744,125,132,L,-7,sf,4
2015-16,1610612757,POR,41500225,2016-05-11,POR,GSW,1610612744,121,125,L,-4,sf,5
2015-16,1610612759,SAS,41500151,2016-04-17,MEM,SAS,1610612763,106,74,W,32,rnd1,1
2015-16,1610612759,SAS,41500152,2016-04-19,MEM,SAS,1610612763,94,68,W,26,rnd1,2
2015-16,1610612759,SAS,41500153,2016-04-22,SAS,MEM,1610612763,96,87,W,9,rnd1,3
2015-16,1610612759,SAS,41500154,2016-04-24,SAS,MEM,1610612763,116,95,W,21,rnd1,4
2015-16,1610612759,SAS,41500231,2016-04-30,OKC,SAS,1610612760,124,92,W,32,sf,1
2015-16,1610612759,SAS,41500232,2016-05-02,OKC,SAS,1610612760,97,98,L,-1,sf,2
2015-16,1610612759,SAS,41500233,2016-05-06,SAS,OKC,1610612760,100,96,W,4,sf,3
2015-16,1610612759,SAS,41500234,2016-05-08,SAS,OKC,1610612760,97,111,L,-14,sf,4
2015-16,1610612759,SAS,41500235,2016-05-10,OKC,SAS,1610612760,91,95,L,-4,sf,5
2015-16,1610612759,SAS,41500236,2016-05-12,SAS,OKC,1610612760,99,113,L,-14,sf,6
2015-16,1610612761,TOR,41500111,2016-04-16,IND,TOR,1610612754,90,100,L,-10,rnd1,1
2015-16,1610612761,TOR,41500112,2016-04-18,IND,TOR,1610612754,98,87,W,11,rnd1,2
2015-16,1610612761,TOR,41500113,2016-04-21,TOR,IND,1610612754,101,85,W,16,rnd1,3
2015-16,1610612761,TOR,41500114,2016-04-23,TOR,IND,1610612754,83,100,L,-17,rnd1,4
2015-16,1610612761,TOR,41500115,2016-04-26,IND,TOR,1610612754,102,99,W,3,rnd1,5
2015-16,1610612761,TOR,41500116,2016-04-29,TOR,IND,1610612754,83,101,L,-18,rnd1,6
2015-16,1610612761,TOR,41500117,2016-05-01,IND,TOR,1610612754,89,84,W,5,rnd1,7
2015-16,1610612761,TOR,41500211,2016-05-03,MIA,TOR,1610612748,96,102,L,-6,sf,1
2015-16,1610612761,TOR,41500212,2016-05-05,MIA,TOR,1610612748,96,92,W,4,sf,2
2015-16,1610612761,TOR,41500213,2016-05-07,TOR,MIA,1610612748,95,91,W,4,sf,3
2015-16,1610612761,TOR,41500214,2016-05-09,TOR,MIA,1610612748,87,94,L,-7,sf,4
2015-16,1610612761,TOR,41500215,2016-05-11,MIA,TOR,1610612748,99,91,W,8,sf,5
2015-16,1610612761,TOR,41500216,2016-05-13,TOR,MIA,1610612748,91,103,L,-12,sf,6
2015-16,1610612761,TOR,41500217,2016-05-15,MIA,TOR,1610612748,116,89,W,27,sf,7
2015-16,1610612761,TOR,41500301,2016-05-17,TOR,CLE,1610612739,84,115,L,-31,conf,1
2015-16,1610612761,TOR,41500302,2016-05-19,TOR,CLE,1610612739,89,108,L,-19,conf,2
2015-16,1610612761,TOR,41500303,2016-05-21,CLE,TOR,1610612739,99,84,W,15,conf,3
2015-16,1610612761,TOR,41500304,2016-05-23,CLE,TOR,1610612739,105,99,W,6,conf,4
2015-16,1610612761,TOR,41500305,2016-05-25,TOR,CLE,1610612739,78,116,L,-38,conf,5
2015-16,1610612761,TOR,41500306,2016-05-27,CLE,TOR,1610612739,87,113,L,-26,conf,6
