SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC
2017-18,201588,George Hill,George,1610612739,CLE,Cleveland Cavaliers,0041700404,2018-06-08T00:00:00,CLE vs. GSW,L,25.083333333333332,1.4,10.0,0.143,1.4,5.7,0.25,0.0,2.9,0.0,1.4,2.9,4.3,1.4,1.4,0.0,0.0,1.4,4.3,1.4,4.3,-37.3,10.2,0,0,11.5,1,856,1,856,803,1384,985,1388,607,516,634,893,691,893,571,1110,1054,999,765,753,540,331,483,1068,1397,1607,1540,163,11,1509,1,25:05
2017-18,203918,Rodney Hood,Rodney,1610612739,CLE,Cleveland Cavaliers,0041700404,2018-06-08T00:00:00,CLE vs. GSW,L,26.525,5.4,19.0,0.286,1.4,4.1,0.333,1.4,1.4,1.0,4.1,6.8,10.9,2.7,2.7,2.7,1.4,5.4,2.7,2.7,13.6,-1.4,40.2,0,0,36.6,1,856,1,856,751,729,205,1209,622,769,476,784,910,1,190,445,278,684,429,201,345,27,900,759,809,893,391,163,11,431,1,26:32
2017-18,1628395,Jordan Bell,Jordan,1610612744,GSW,Golden State Warriors,0041700404,2018-06-08T00:00:00,GSW @ CLE,W,18.4,3.9,5.9,0.667,0.0,0.0,0.0,0.0,0.0,0.0,3.9,3.9,7.8,2.0,0.0,0.0,2.0,0.0,0.0,0.0,7.8,7.8,26.0,0,0,21.5,1,1,875,1,1076,1009,1387,198,820,1187,820,893,951,893,201,919,544,869,986,753,211,583,1400,1191,1215,549,967,163,11,1128,1,18:24
2017-18,2747,JR Smith,JR,1610612739,CLE,Cleveland Cavaliers,0041700404,2018-06-08T00:00:00,CLE vs. GSW,L,26.575,4.1,10.8,0.375,4.1,6.8,0.6,1.4,2.7,0.5,0.0,2.7,2.7,1.4,0.0,0.0,0.0,2.7,4.1,4.1,13.5,-24.4,18.8,0,0,21.7,1,856,1,856,748,981,901,1003,148,371,167,785,718,665,791,1144,1286,1012,986,753,540,101,525,476,814,1489,1274,163,11,1119,1,26:35
2017-18,201567,Kevin Love,Kevin,1610612739,CLE,Cleveland Cavaliers,0041700404,2018-06-08T00:00:00,CLE vs. GSW,L,27.725,5.2,16.9,0.308,2.6,6.5,0.4,3.9,5.2,0.75,3.9,7.8,11.7,2.6,1.3,1.3,0.0,2.6,2.6,2.6,16.9,-33.8,37.4,0,0,36.4,1,856,1,856,706,774,334,1182,350,409,403,393,380,510,204,328,229,713,795,515,540,111,937,785,585,1576,480,163,11,444,1,27:44
2017-18,1626204,Larry Nance Jr.,Larry,1610612739,CLE,Cleveland Cavaliers,0041700404,2018-06-08T00:00:00,CLE vs. GSW,L,23.198333333333334,4.7,10.9,0.429,0.0,0.0,0.0,1.6,3.1,0.5,9.3,3.1,12.4,6.2,0.0,1.6,1.6,1.6,6.2,4.7,10.9,0.0,44.4,0,0,35.7,1,856,1,856,886,869,900,820,820,1187,820,754,659,665,37,1068,190,241,986,459,306,299,219,361,1013,792,275,163,11,465,1,23:12
2017-18,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0041700404,2018-06-08T00:00:00,GSW @ CLE,W,38.748333333333335,11.1,25.1,0.444,6.5,13.9,0.467,5.6,5.6,1.0,1.9,3.7,5.6,3.7,1.9,2.8,2.8,0.9,3.7,5.6,34.4,16.7,61.5,0,0,61.3,1,1,875,1,183,118,50,775,36,33,363,233,343,1,495,949,869,511,656,192,102,519,611,246,60,320,56,163,11,36,1,38:45
2017-18,101181,Jose Calderon,Jose,1610612739,CLE,Cleveland Cavaliers,0041700404,2018-06-08T00:00:00,CLE vs. GSW,L,4.05,0.0,8.9,0.0,0.0,8.9,0.0,0.0,0.0,0.0,0.0,8.9,8.9,8.9,0.0,8.9,0.0,0.0,0.0,0.0,0.0,17.8,50.7,0,0,35.6,1,856,1,856,1558,1410,1098,1410,820,185,820,893,951,893,791,246,436,92,986,11,540,583,1400,1191,1466,295,149,163,11,471,1,4:03
2017-18,2544,LeBron James,LeBron,1610612739,CLE,Cleveland Cavaliers,0041700404,2018-06-08T00:00:00,CLE vs. GSW,L,40.56,6.2,11.5,0.538,0.0,0.9,0.0,8.0,9.8,0.818,0.9,5.3,6.2,7.1,5.3,0.0,0.9,0.9,4.4,8.0,20.4,-18.6,35.9,0,0,35.5,1,856,1,856,100,599,831,465,820,1182,820,89,101,461,760,662,749,177,122,753,509,543,458,79,384,1393,542,163,11,473,1,40:34
2017-18,2733,Shaun Livingston,Shaun,1610612744,GSW,Golden State Warriors,0041700404,2018-06-08T00:00:00,GSW @ CLE,W,14.058333333333334,0.0,2.6,0.0,0.0,0.0,0.0,5.1,5.1,1.0,0.0,10.2,10.2,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,17.4,0,0,15.4,1,1,875,1,1262,1410,1564,1410,820,1187,820,267,386,1,791,157,338,1144,986,753,540,583,333,295,1362,635,1333,163,11,1400,1,14:04
2017-18,201580,JaVale McGee,JaVale,1610612744,GSW,Golden State Warriors,0041700404,2018-06-08T00:00:00,GSW @ CLE,W,16.466666666666665,6.6,8.7,0.75,0.0,0.0,0.0,0.0,0.0,0.0,2.2,4.4,6.6,0.0,0.0,0.0,2.2,0.0,2.2,4.4,13.1,45.9,27.5,0,0,24.0,1,1,875,1,1153,550,1115,140,820,1187,820,893,951,893,404,837,707,1144,986,753,176,583,1059,412,846,50,891,163,11,1012,1,16:28
2017-18,202691,Klay Thompson,Klay,1610612744,GSW,Golden State Warriors,0041700404,2018-06-08T00:00:00,GSW @ CLE,W,28.491666666666667,5.1,12.6,0.4,2.5,6.3,0.4,0.0,0.0,0.0,0.0,7.6,7.6,0.0,2.5,0.0,0.0,1.3,3.8,0.0,12.6,24.0,19.2,0,0,22.7,1,1,875,1,679,795,705,905,359,435,403,893,951,893,791,348,566,1144,467,753,540,363,592,1191,888,178,1263,163,11,1071,1,28:30
2017-18,2561,David West,David,1610612744,GSW,Golden State Warriors,0041700404,2018-06-08T00:00:00,GSW @ CLE,W,7.6,4.7,4.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,9.5,4.7,9.5,-28.4,16.6,0,0,14.2,1,1,875,1,1441,850,1479,1,820,1187,820,893,951,893,791,1417,1488,383,986,753,540,583,78,345,1122,1538,1364,163,11,1435,1,7:36
2017-18,1627790,Ante Zizic,Ante,1610612739,CLE,Cleveland Cavaliers,0041700404,2018-06-08T00:00:00,CLE vs. GSW,L,1.6666666666666667,43.2,43.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6,0.0,21.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.4,86.4,112.3,0,0,108.0,1,856,1,856,1675,2,4,1,820,1187,820,893,951,893,3,1417,18,1144,986,753,540,583,1400,1191,4,12,4,163,11,4,1,1:40
2017-18,201145,Jeff Green,Jeff,1610612739,CLE,Cleveland Cavaliers,0041700404,2018-06-08T00:00:00,CLE vs. GSW,L,23.666666666666668,3.0,12.2,0.25,1.5,4.6,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.5,1.5,1.5,1.5,7.6,-13.7,14.5,0,0,13.7,1,856,1,856,866,1154,749,1256,585,688,476,893,951,893,791,1417,1488,974,986,753,315,305,1250,1050,1230,1276,1437,163,11,1455,1,23:40
2017-18,201567,Kevin Love,Kevin,1610612739,CLE,Cleveland Cavaliers,0041700403,2018-06-06T00:00:00,CLE vs. GSW,L,31.195,6.9,15.0,0.462,3.5,8.1,0.429,5.8,5.8,1.0,5.8,9.2,15.0,3.5,2.3,1.2,0.0,0.0,2.3,3.5,23.1,-1.2,47.4,1,0,47.3,1,856,1,856,555,500,465,735,213,247,382,215,325,1,100,219,102,553,517,561,540,583,1031,586,275,888,199,1,11,144,1,31:12
2017-18,2594,Kyle Korver,Kyle,1610612739,CLE,Cleveland Cavaliers,0041700403,2018-06-06T00:00:00,CLE vs. GSW,L,10.775,0.0,13.4,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,6.7,6.7,0.0,3.3,0.0,0.0,0.0,3.3,0.0,0.0,0.0,4.7,0,0,6.7,1,856,1,856,1361,1410,627,1410,820,379,820,893,951,893,791,457,690,1144,315,753,540,583,707,1191,1466,792,1612,163,11,1591,1,10:47
2017-18,201145,Jeff Green,Jeff,1610612739,CLE,Cleveland Cavaliers,0041700403,2018-06-06T00:00:00,CLE vs. GSW,L,18.005,2.0,8.0,0.25,2.0,6.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,6.0,-14.0,7.0,0,0,10.0,1,856,1,856,1093,1314,1204,1256,466,475,476,893,951,893,791,1417,1488,860,614,753,540,210,1125,1191,1313,1284,1591,163,11,1537,1,18:00
2017-18,1628395,Jordan Bell,Jordan,1610612744,GSW,Golden State Warriors,0041700403,2018-06-06T00:00:00,GSW @ CLE,W,11.966666666666667,12.0,15.0,0.8,0.0,0.0,0.0,6.0,12.0,0.5,6.0,12.0,18.1,0.0,0.0,0.0,3.0,0.0,0.0,6.0,30.1,0.0,60.8,0,0,54.2,1,1,875,1,1326,83,461,119,820,1187,820,185,55,665,93,99,46,1144,986,753,89,583,1400,197,97,792,60,163,11,78,1,11:58
2017-18,2738,Andre Iguodala,Andre,1610612744,GSW,Golden State Warriors,0041700403,2018-06-06T00:00:00,GSW @ CLE,W,21.875,4.9,6.6,0.75,0.0,0.0,0.0,3.3,3.3,1.0,0.0,3.3,3.3,1.6,1.6,1.6,0.0,0.0,4.9,1.6,13.2,23.0,22.9,0,0,21.4,1,1,875,1,933,821,1338,140,820,1187,820,464,630,1,791,1032,1194,948,727,436,540,583,358,1029,839,189,1087,163,11,1134,1,21:53
2017-18,202684,Tristan Thompson,Tristan,1610612739,CLE,Cleveland Cavaliers,0041700403,2018-06-06T00:00:00,CLE vs. GSW,L,33.765,4.3,8.5,0.5,0.0,0.0,0.0,0.0,1.1,0.0,1.1,6.4,7.5,0.0,0.0,0.0,1.1,1.1,2.1,5.3,8.5,-2.1,20.7,0,0,18.1,1,856,1,856,435,941,1146,508,820,1187,820,893,930,893,664,486,580,1144,986,753,424,433,1083,276,1177,919,1218,163,11,1294,1,33:46
2017-18,1626172,Kevon Looney,Kevon,1610612744,GSW,Golden State Warriors,0041700403,2018-06-06T00:00:00,GSW @ CLE,W,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1,1,875,1,1729,1410,1582,1410,820,1187,820,893,951,893,791,1417,1488,1144,986,753,540,583,1400,1191,1466,792,1627,163,11,1627,1,0:01
2017-18,2733,Shaun Livingston,Shaun,1610612744,GSW,Golden State Warriors,0041700403,2018-06-06T00:00:00,GSW @ CLE,W,17.39,8.3,10.4,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0,2.1,6.2,0.0,16.6,6.2,22.8,0,0,20.7,1,1,875,1,1114,320,954,119,820,1187,820,893,951,893,791,1417,1488,454,986,753,540,195,218,1191,607,595,1095,163,11,1165,1,17:23
2017-18,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0041700403,2018-06-06T00:00:00,GSW @ CLE,W,39.24333333333333,2.8,14.7,0.188,0.9,9.2,0.1,3.7,3.7,1.0,0.0,4.6,4.6,5.5,1.8,0.9,0.0,1.8,2.8,3.7,10.1,0.0,24.8,0,0,22.9,1,1,875,1,151,1199,494,1373,784,168,818,418,579,1,791,794,1014,313,666,691,540,245,888,542,1069,792,1021,163,11,1063,1,39:15
2017-18,2561,David West,David,1610612744,GSW,Golden State Warriors,0041700403,2018-06-06T00:00:00,GSW @ CLE,W,5.073333333333333,0.0,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,7.1,14.2,0.0,7.1,0.0,0.0,0.0,0.0,7.1,0.0,-21.3,9.9,0,0,14.2,1,1,875,1,1514,1410,547,1410,820,1187,820,893,951,893,60,407,125,1144,64,753,540,583,1400,121,1466,1451,1549,163,11,1438,1,5:04
2017-18,203110,Draymond Green,Draymond,1610612744,GSW,Golden State Warriors,0041700403,2018-06-06T00:00:00,GSW @ CLE,W,40.37166666666667,3.6,7.1,0.5,0.0,1.8,0.0,1.8,1.8,1.0,0.0,1.8,1.8,8.0,1.8,1.8,0.0,0.9,3.6,2.7,8.9,-1.8,26.7,0,0,22.3,1,1,875,1,112,1068,1276,508,820,1101,820,724,883,1,791,1297,1414,134,685,395,540,537,640,771,1155,905,930,163,11,1092,1,40:22
2017-18,1627775,Patrick McCaw,Patrick,1610612744,GSW,Golden State Warriors,0041700403,2018-06-06T00:00:00,GSW @ CLE,W,0.965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.3,0.0,0,0,0.0,1,1,875,1,1702,1410,1582,1410,820,1187,820,893,951,893,791,1417,1488,1144,986,753,540,583,1400,1191,1466,68,1627,163,11,1627,1,0:58
2017-18,201588,George Hill,George,1610612739,CLE,Cleveland Cavaliers,0041700403,2018-06-06T00:00:00,CLE vs. GSW,L,27.288333333333334,2.6,7.9,0.333,1.3,2.6,0.5,0.0,0.0,0.0,1.3,1.3,2.6,5.3,5.3,0.0,0.0,0.0,4.0,1.3,6.6,-2.6,12.4,0,0,15.8,1,856,1,856,726,1214,1212,1065,631,982,211,893,951,893,589,1362,1299,330,125,753,540,583,544,1085,1285,929,1495,163,11,1384,1,27:17
2017-18,203918,Rodney Hood,Rodney,1610612739,CLE,Cleveland Cavaliers,0041700403,2018-06-06T00:00:00,CLE vs. GSW,L,25.633333333333333,9.8,15.4,0.636,0.0,1.4,0.0,1.4,2.8,0.5,2.8,5.6,8.4,0.0,0.0,0.0,1.4,1.4,2.8,1.4,21.1,-16.9,35.4,0,0,32.3,1,856,1,856,789,174,423,288,820,1137,820,777,699,665,309,620,484,1144,986,753,336,337,866,1073,347,1351,566,163,11,608,1,25:38
2017-18,201142,Kevin Durant,Kevin,1610612744,GSW,Golden State Warriors,0041700403,2018-06-06T00:00:00,GSW @ CLE,W,43.25,12.5,19.1,0.652,5.0,7.5,0.667,5.8,5.8,1.0,0.8,10.0,10.8,5.8,2.5,0.8,0.8,0.0,2.5,5.0,35.8,12.5,60.0,1,0,60.8,1,1,875,1,38,70,198,280,86,299,106,210,317,1,782,174,281,279,475,739,527,583,967,309,53,413,64,1,11,40,1,43:15
2017-18,2747,JR Smith,JR,1610612739,CLE,Cleveland Cavaliers,0041700403,2018-06-06T00:00:00,CLE vs. GSW,L,33.13333333333333,5.4,15.2,0.357,3.3,10.9,0.3,0.0,0.0,0.0,1.1,3.3,4.3,0.0,0.0,3.3,0.0,0.0,4.3,3.3,14.1,-4.3,29.1,0,0,28.2,1,856,1,856,470,727,444,1050,242,94,608,893,951,893,656,1043,1045,1144,986,141,540,583,476,618,775,978,823,163,11,795,1,33:08
2017-18,2544,LeBron James,LeBron,1610612739,CLE,Cleveland Cavaliers,0041700403,2018-06-06T00:00:00,CLE vs. GSW,L,46.87166666666667,10.0,21.5,0.464,0.8,4.6,0.167,4.6,5.4,0.857,2.3,5.4,7.7,8.4,3.1,1.5,1.5,1.5,1.5,4.6,25.3,-6.1,53.4,1,1,48.4,1,856,1,856,6,172,118,733,818,680,771,311,359,427,383,655,555,112,355,463,309,303,1244,371,195,1037,114,1,1,128,1,46:52
2017-18,201580,JaVale McGee,JaVale,1610612744,GSW,Golden State Warriors,0041700403,2018-06-06T00:00:00,GSW @ CLE,W,14.476666666666667,12.4,17.4,0.714,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.5,7.5,0.0,2.5,0.0,5.0,0.0,2.5,2.5,24.9,7.5,46.3,0,0,42.3,1,1,875,1,1241,73,296,169,820,1187,820,893,951,893,131,1192,581,1144,479,753,39,583,971,816,213,563,226,163,11,253,1,14:29
2017-18,201156,Nick Young,Nick,1610612744,GSW,Golden State Warriors,0041700403,2018-06-06T00:00:00,GSW @ CLE,W,4.793333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.6,0.0,0,0,0.0,1,1,875,1,1525,1410,1582,1410,820,1187,820,893,951,893,791,1417,1488,1144,986,753,540,583,1400,1191,1466,1609,1627,163,11,1627,1,4:48
2017-18,202691,Klay Thompson,Klay,1610612744,GSW,Golden State Warriors,0041700403,2018-06-06T00:00:00,GSW @ CLE,W,40.57833333333333,3.5,9.8,0.364,1.8,4.4,0.4,0.0,0.0,0.0,0.0,3.5,3.5,1.8,0.0,0.9,0.9,0.0,2.7,0.0,8.9,12.4,21.1,0,0,19.5,1,1,875,1,98,1073,1010,1031,524,708,403,893,951,893,791,984,1152,914,986,717,510,583,917,1191,1160,414,1193,163,11,1227,1,40:35
2017-18,1626204,Larry Nance Jr.,Larry,1610612739,CLE,Cleveland Cavaliers,0041700403,2018-06-06T00:00:00,CLE vs. GSW,L,13.333333333333334,5.4,10.8,0.5,0.0,0.0,0.0,2.7,5.4,0.5,5.4,2.7,8.1,2.7,2.7,0.0,0.0,0.0,2.7,2.7,13.5,-10.8,24.6,0,0,24.3,1,856,1,856,1287,732,904,508,820,1187,820,551,356,665,109,1146,521,686,431,753,540,583,902,763,819,1195,1031,163,11,1000,1,13:20
2017-18,1626172,Kevon Looney,Kevon,1610612744,GSW,Golden State Warriors,0041700402,2018-06-03T00:00:00,GSW vs. CLE,W,11.463333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,0.0,0.0,3.1,3.1,3.1,0.0,0.0,0.0,0.0,0.0,9.4,0.0,18.8,8.5,0,0,6.3,1,1,875,1,1338,1410,1582,1410,820,1187,820,893,50,893,791,1065,1223,612,986,753,540,583,1400,38,1466,271,1569,163,11,1595,1,11:28
2017-18,203918,Rodney Hood,Rodney,1610612739,CLE,Cleveland Cavaliers,0041700402,2018-06-03T00:00:00,CLE @ GSW,L,4.15,8.7,17.3,0.5,0.0,8.7,0.0,0.0,0.0,0.0,0.0,8.7,8.7,8.7,0.0,0.0,0.0,0.0,0.0,0.0,17.3,-8.7,40.8,0,0,34.7,1,856,1,856,1553,278,300,508,820,194,820,893,951,893,791,261,458,102,986,753,540,583,1400,1191,554,1140,372,163,11,505,1,4:09
2017-18,201567,Kevin Love,Kevin,1610612739,CLE,Cleveland Cavaliers,0041700402,2018-06-03T00:00:00,CLE @ GSW,L,34.9,7.2,18.6,0.389,3.1,8.3,0.375,5.2,5.2,1.0,4.1,6.2,10.3,1.0,1.0,2.1,1.0,2.1,1.0,3.1,22.7,-12.4,44.9,1,0,43.3,1,856,1,856,374,457,219,978,269,231,453,263,383,1,185,515,326,1091,889,315,445,197,1339,653,287,1240,262,1,11,230,1,34:54
2017-18,2594,Kyle Korver,Kyle,1610612739,CLE,Cleveland Cavaliers,0041700402,2018-06-03T00:00:00,CLE @ GSW,L,17.346666666666668,0.0,6.2,0.0,0.0,2.1,0.0,2.1,2.1,1.0,4.2,0.0,4.2,2.1,0.0,0.0,2.1,2.1,4.2,2.1,2.1,-37.4,16.4,0,0,12.5,1,856,1,856,1115,1410,1365,1410,820,1056,820,650,821,1,183,1417,1074,838,986,753,194,194,512,921,1458,1608,1373,163,11,1481,1,17:21
2017-18,1626224,Cedi Osman,Cedi,1610612739,CLE,Cleveland Cavaliers,0041700402,2018-06-03T00:00:00,CLE @ GSW,L,4.286666666666667,8.4,16.8,0.5,0.0,8.4,0.0,0.0,0.0,0.0,0.0,8.4,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,-8.4,26.9,0,0,25.2,1,856,1,856,1543,306,342,508,820,217,820,893,951,893,791,289,491,1144,986,753,540,583,1400,1191,591,1131,920,163,11,971,1,4:17
2017-18,202691,Klay Thompson,Klay,1610612744,GSW,Golden State Warriors,0041700402,2018-06-03T00:00:00,GSW vs. CLE,W,33.70333333333333,8.5,13.9,0.615,3.2,8.5,0.375,1.1,2.1,0.5,0.0,2.1,2.1,1.1,2.1,1.1,0.0,1.1,3.2,1.1,21.4,11.7,26.6,0,0,29.9,1,1,875,1,440,293,572,318,250,200,453,843,812,665,791,1245,1371,1076,570,604,540,429,741,1150,332,431,935,163,11,727,1,33:42
