player,team,number,position,height,weight,last_attended,country,birthdate,profile_url,is_active,is_free_agent,is_retired,experience,headshot_url,legacy,pid,position_list,position_primary,position_alt,draft_year,draft_round,draft_pick,draft_status,player_id
Precious Achiuwa,NYK,5,FORWARD,80.0,243.0,Memphis,Nigeria,1999-09-19,https://www.nba.com/player/1630173/precious-achiuwa,True,False,False,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630173.png,False,1630173,['FORWARD'],FORWARD,,2020,1,20,Drafted,achiupr01
Alex Acker,RET,3,GUARD,77.0,185.0,Pepperdine,USA,1983-01-21,https://www.nba.com/player/101165/alex-acker,False,False,True,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/101165.png,False,101165,['GUARD'],GUARD,,2005,2,60,Drafted,ackeral01
Donald Ackerman,RET,,GUARD,72.0,183.0,Long Island-Brooklyn,USA,1930-09-04,https://www.nba.com/player/76008/HISTADD-buddy-ackerman,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76008.png,True,76008,['GUARD'],GUARD,,1953,1,,Drafted,ackerdo01
Mark Acres,RET,42,CENTER,83.0,220.0,Oral Roberts,USA,1962-11-15,https://www.nba.com/player/76009/HISTADD-mark-acres,False,False,True,6.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76009.png,True,76009,['CENTER'],CENTER,,1985,1,40,Drafted,acresma01
Charles Acton,RET,24,FORWARD,78.0,210.0,Hillsdale,USA,1942-01-11,https://www.nba.com/player/76010/HISTADD-bud-acton,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76010.png,True,76010,['FORWARD'],FORWARD,,0,0,0,UDF,actonch01
Quincy Acy,RET,,FORWARD,79.0,240.0,Baylor,USA,1990-10-06,https://www.nba.com/player/203112/quincy-acy,False,False,True,7.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203112.png,False,203112,['FORWARD'],FORWARD,,2012,2,37,Drafted,acyqu0100
Alvan Adams,RET,33,CENTER,81.0,210.0,Oklahoma,USA,1954-07-19,https://www.nba.com/player/76011/HISTADD-alvan-adams,False,False,True,13.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76011.png,True,76011,['CENTER'],CENTER,,1975,1,4,Drafted,adamsal01
Don Adams,RET,10,FORWARD,79.0,210.0,Northwestern,USA,1947-11-27,https://www.nba.com/player/76012/HISTADD-don-adams,False,False,True,7.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76012.png,True,76012,['FORWARD'],FORWARD,,1970,1,120,Drafted,adamsdo01
Hassan Adams,RET,,FORWARD,76.0,220.0,Arizona,USA,1984-06-20,https://www.nba.com/player/200801/hassan-adams,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/200801.png,False,200801,['FORWARD'],FORWARD,,2006,2,54,Drafted,adamsha01
Jaylen Adams,RET,,GUARD,72.0,225.0,St. Bonaventure,USA,1996-05-04,https://www.nba.com/player/1629121/jaylen-adams,False,False,True,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629121.png,False,1629121,['GUARD'],GUARD,,0,0,0,UDF,adamsja01
Jordan Adams,RET,3,GUARD,77.0,209.0,UCLA,USA,1994-07-08,https://www.nba.com/player/203919/jordan-adams,False,False,True,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203919.png,False,203919,['GUARD'],GUARD,,2014,1,22,Drafted,adamsjo01
Michael Adams,RET,23,GUARD,70.0,165.0,Boston College,USA,1963-01-19,https://www.nba.com/player/149/michael-adams,False,False,True,11.0,https://cdn.nba.com/headshots/nba/latest/1040x760/149.png,False,149,['GUARD'],GUARD,,1985,3,66,Drafted,adamsmi01
Steven Adams,HOU,12,CENTER,83.0,265.0,Pittsburgh,New Zealand,1993-07-20,https://www.nba.com/player/203500/steven-adams,True,False,False,10.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203500.png,False,203500,['CENTER'],CENTER,,2013,1,12,Drafted,adamsst01
Rafael Addison,RET,7,FORWARD,80.0,241.0,Syracuse,USA,1964-07-22,https://www.nba.com/player/912/rafael-addison,False,False,True,6.0,https://cdn.nba.com/headshots/nba/latest/1040x760/912.png,False,912,['FORWARD'],FORWARD,,1986,2,39,Drafted,addisra01
Bam Adebayo,MIA,13,CENTER-FORWARD,81.0,255.0,Kentucky,USA,1997-07-18,https://www.nba.com/player/1628389/bam-adebayo,True,False,False,7.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1628389.png,False,1628389,"['CENTER', 'FORWARD']",CENTER,FORWARD,2017,1,14,Drafted,adebaba01
Deng Adel,RET,32,FORWARD,79.0,200.0,Louisville,South Sudan,1997-02-01,https://www.nba.com/player/1629061/deng-adel,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629061.png,False,1629061,['FORWARD'],FORWARD,,2018,1,,Drafted,adelde010
Rick Adelman,RET,5,GUARD,74.0,175.0,Loyola-Marymount,USA,1946-06-16,https://www.nba.com/player/76015/HISTADD-rick-adelman,False,False,True,7.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76015.png,True,76015,['GUARD'],GUARD,,1968,1,79,Drafted,adelmri01
Jeff Adrien,RET,,NAN,,,Connecticut,USA,1986-02-10,https://www.nba.com/player/202399/jeff-adrien,False,False,True,6.0,https://cdn.nba.com/headshots/nba/latest/1040x760/202399.png,False,202399,['NAN'],NAN,,0,0,0,UDF,adrieje01
Arron Afflalo,RET,4,GUARD,77.0,210.0,UCLA,USA,1985-10-15,https://www.nba.com/player/201167/arron-afflalo,False,False,True,12.0,https://cdn.nba.com/headshots/nba/latest/1040x760/201167.png,False,201167,['GUARD'],GUARD,,2007,1,27,Drafted,afflaar01
Ochai Agbaji,TOR,30,GUARD,77.0,215.0,Kansas,USA,2000-04-20,https://www.nba.com/player/1630534/ochai-agbaji,True,False,False,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630534.png,False,1630534,['GUARD'],GUARD,,2022,1,14,Drafted,agbajoc01
Maurice Ager,RET,,FORWARD-GUARD,77.0,202.0,Michigan State,USA,1984-02-09,https://www.nba.com/player/200772/maurice-ager,False,False,True,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/200772.png,False,200772,"['FORWARD', 'GUARD']",FORWARD,GUARD,2006,1,28,Drafted,agerma010
Mark Aguirre,RET,7,FORWARD,78.0,232.0,DePaul,USA,1959-12-10,https://www.nba.com/player/76016/HISTADD-mark-aguirre,False,False,True,13.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76016.png,True,76016,['FORWARD'],FORWARD,,1981,1,1,Drafted,aguirma01
Blake Ahearn,RET,2,GUARD,74.0,190.0,Missouri State,USA,1984-05-27,https://www.nba.com/player/201336/blake-ahearn,False,False,True,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/201336.png,False,201336,['GUARD'],GUARD,,0,0,0,UDF,ahearbl01
Danny Ainge,RET,22,GUARD,77.0,175.0,Brigham Young,USA,1959-03-17,https://www.nba.com/player/76017/HISTADD-danny-ainge,False,False,True,14.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76017.png,True,76017,['GUARD'],GUARD,,1981,1,31,Drafted,aingeda01
Alexis Ajinca,RET,42,CENTER,86.0,248.0,Hyeres-Toulon,France,1988-05-06,https://www.nba.com/player/201582/alexis-ajinca,False,False,True,8.0,https://cdn.nba.com/headshots/nba/latest/1040x760/201582.png,False,201582,['CENTER'],CENTER,,2008,1,20,Drafted,ajincal01
Henry Akin,RET,10,CENTER,82.0,225.0,Morehead State,USA,1944-07-31,https://www.nba.com/player/76018/HISTADD-henry-akin,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76018.png,True,76018,['CENTER'],CENTER,,1966,1,11,Drafted,akinhe010
Josh Akognon,RET,10,GUARD,71.0,185.0,California State-Fullerton,USA,1986-02-10,https://www.nba.com/player/203006/josh-akognon,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203006.png,False,203006,['GUARD'],GUARD,,0,0,0,UDF,akognjo01
DeVaughn Akoon-Purcell,RET,,GUARD-FORWARD,78.0,200.0,Illinois State,Trinidad and Tobago,1993-06-05,https://www.nba.com/player/1629152/devaughn-akoon-purcell,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629152.png,False,1629152,"['GUARD', 'FORWARD']",GUARD,FORWARD,2016,1,,Drafted,akoonde01
Solomon Alabi,RET,50,CENTER,85.0,252.0,Florida State,Nigeria,1988-03-21,https://www.nba.com/player/202374/solomon-alabi,False,False,True,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/202374.png,False,202374,['CENTER'],CENTER,,2010,2,50,Drafted,alabiso01
Mark Alarie,RET,31,FORWARD,80.0,217.0,Duke,USA,1963-12-11,https://www.nba.com/player/76019/HISTADD-mark-alarie,False,False,True,5.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76019.png,True,76019,['FORWARD'],FORWARD,,1986,1,18,Drafted,alarima01
Gary Alcorn,RET,24,CENTER,81.0,225.0,Fresno State,USA,1936-10-08,https://www.nba.com/player/76020/HISTADD-gary-alcorn,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76020.png,True,76020,['CENTER'],CENTER,,1959,1,16,Drafted,alcorga01
Santi Aldama,MEM,7,FORWARD-CENTER,84.0,215.0,Loyola-Maryland,Spain,2001-01-10,https://www.nba.com/player/1630583/santi-aldama,True,False,False,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630583.png,False,1630583,"['FORWARD', 'CENTER']",FORWARD,CENTER,2021,1,30,Drafted,aldamsa01
Furkan Aldemir,RET,19,FORWARD-CENTER,82.0,240.0,Galatasaray,Turkey,1991-08-09,https://www.nba.com/player/203128/furkan-aldemir,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203128.png,False,203128,"['FORWARD', 'CENTER']",FORWARD,CENTER,2012,2,53,Drafted,aldemfu01
Cole Aldrich,RET,45,CENTER,83.0,253.0,Kansas,USA,1988-10-31,https://www.nba.com/player/202332/cole-aldrich,False,False,True,9.0,https://cdn.nba.com/headshots/nba/latest/1040x760/202332.png,False,202332,['CENTER'],CENTER,,2010,1,11,Drafted,aldrico01
LaMarcus Aldridge,RET,21,CENTER-FORWARD,83.0,250.0,University of Texas at Austin,USA,1985-07-19,https://www.nba.com/player/200746/lamarcus-aldridge,False,False,True,17.0,https://cdn.nba.com/headshots/nba/latest/1040x760/200746.png,False,200746,"['CENTER', 'FORWARD']",CENTER,FORWARD,2006,1,2,Drafted,aldrila01
Chuck Aleksinas,RET,50,CENTER,83.0,260.0,Connecticut,USA,1959-02-26,https://www.nba.com/player/76021/HISTADD-chuck-aleksinas,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76021.png,True,76021,['CENTER'],CENTER,,1982,1,76,Drafted,aleksch01
Cliff Alexander,RET,34,FORWARD,80.0,240.0,Kansas,USA,1995-11-16,https://www.nba.com/player/1626146/cliff-alexander,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1626146.png,False,1626146,['FORWARD'],FORWARD,,0,0,0,UDF,alexacl01
Cory Alexander,RET,12,GUARD,73.0,190.0,Virginia,USA,1973-06-22,https://www.nba.com/player/724/cory-alexander,False,False,True,8.0,https://cdn.nba.com/headshots/nba/latest/1040x760/724.png,False,724,['GUARD'],GUARD,,1995,1,29,Drafted,alexaco01
Courtney Alexander,RET,32,GUARD,77.0,205.0,Fresno State,USA,1977-04-27,https://www.nba.com/player/2042/courtney-alexander,False,False,True,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2042.png,False,2042,['GUARD'],GUARD,,2000,1,13,Drafted,alexaco02
Gary Alexander,RET,16,FORWARD,79.0,240.0,South Florida,USA,1969-11-01,https://www.nba.com/player/76022/HISTADD-gary-alexander,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76022.png,True,76022,['FORWARD'],FORWARD,,0,0,0,UDF,alexaga01
Joe Alexander,RET,20,FORWARD,80.0,230.0,West Virginia,USA,1986-12-26,https://www.nba.com/player/201570/joe-alexander,False,False,True,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/201570.png,False,201570,['FORWARD'],FORWARD,,2008,1,8,Drafted,alexajo01
Kyle Alexander,RET,17,FORWARD-CENTER,82.0,216.0,Tennessee,Canada,1996-10-21,https://www.nba.com/player/1629734/kyle-alexander,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629734.png,False,1629734,"['FORWARD', 'CENTER']",FORWARD,CENTER,0,0,0,UDF,alexaky01
Trey Alexander,DEN,23,GUARD,76.0,185.0,Creighton,USA,2003-05-02,https://www.nba.com/player/1641725/trey-alexander,True,False,False,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641725.png,False,1641725,['GUARD'],GUARD,,0,0,0,UDF,alexatr01
Ty-Shon Alexander,RET,0,GUARD,75.0,195.0,Creighton,USA,1998-07-16,https://www.nba.com/player/1630234/ty-shon-alexander,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630234.png,False,1630234,['GUARD'],GUARD,,0,0,0,UDF,alexaty01
Victor Alexander,RET,9,FORWARD,82.0,265.0,Iowa State,USA,1969-08-31,https://www.nba.com/player/2349/victor-alexander,False,False,True,5.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2349.png,False,2349,['FORWARD'],FORWARD,,1991,1,17,Drafted,alexavi01
Nickeil Alexander-Walker,MIN,9,GUARD,77.0,205.0,Virginia Tech,Canada,1998-09-02,https://www.nba.com/player/1629638/nickeil-alexander-walker,True,False,False,5.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629638.png,False,1629638,['GUARD'],GUARD,,2019,1,17,Drafted,alexani01
Steve Alford,RET,4,GUARD,74.0,183.0,Indiana,USA,1964-11-23,https://www.nba.com/player/76024/HISTADD-steve-alford,False,False,True,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76024.png,True,76024,['GUARD'],GUARD,,1987,1,26,Drafted,alforst01
Rawle Alkins,RET,20,GUARD,77.0,225.0,Arizona,USA,1997-10-29,https://www.nba.com/player/1628959/rawle-alkins,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1628959.png,False,1628959,['GUARD'],GUARD,,0,0,0,UDF,alkinra01
Bob Allen,RET,50,FORWARD,81.0,205.0,Marshall,USA,1946-07-17,https://www.nba.com/player/76028/HISTADD-bob-allen,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76028.png,True,76028,['FORWARD'],FORWARD,,1968,1,71,Drafted,allenbo01
Grayson Allen,PHX,8,GUARD,76.0,198.0,Duke,USA,1995-10-08,https://www.nba.com/player/1628960/grayson-allen,True,False,False,6.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1628960.png,False,1628960,['GUARD'],GUARD,,2018,1,21,Drafted,allengr01
Jarrett Allen,CLE,31,CENTER,81.0,243.0,Texas,USA,1998-04-21,https://www.nba.com/player/1628386/jarrett-allen,True,False,False,7.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1628386.png,False,1628386,['CENTER'],CENTER,,2017,1,22,Drafted,allenja01
Jerome Allen,RET,53,GUARD,76.0,184.0,Pennsylvania,USA,1973-01-28,https://www.nba.com/player/706/jerome-allen,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/706.png,False,706,['GUARD'],GUARD,,1995,2,49,Drafted,allenje01
Kadeem Allen,RET,,GUARD,73.0,200.0,Arizona,USA,1993-01-15,https://www.nba.com/player/1628443/kadeem-allen,False,False,True,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1628443.png,False,1628443,['GUARD'],GUARD,,2017,2,53,Drafted,allenka01
Lavoy Allen,RET,5,FORWARD-CENTER,81.0,260.0,Temple,USA,1989-02-04,https://www.nba.com/player/202730/lavoy-allen,False,False,True,7.0,https://cdn.nba.com/headshots/nba/latest/1040x760/202730.png,False,202730,"['FORWARD', 'CENTER']",FORWARD,CENTER,2011,2,50,Drafted,allenla01
Lucius Allen,RET,42,GUARD,74.0,175.0,UCLA,USA,1947-09-26,https://www.nba.com/player/76027/HISTADD-lucius-allen,False,False,True,10.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76027.png,True,76027,['GUARD'],GUARD,,1969,1,3,Drafted,allenlu01
Malik Allen,RET,35,FORWARD,82.0,255.0,Villanova,USA,1978-06-27,https://www.nba.com/player/2124/malik-allen,False,False,True,11.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2124.png,False,2124,['FORWARD'],FORWARD,,0,0,0,UDF,allenma01
Randy Allen,RET,33,FORWARD,80.0,220.0,Florida State,USA,1965-01-26,https://www.nba.com/player/76025/HISTADD-randy-allen,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76025.png,True,76025,['FORWARD'],FORWARD,,0,0,0,UDF,allenra01
Ray Allen,RET,34,GUARD,77.0,205.0,Connecticut,USA,1975-07-20,https://www.nba.com/player/951/ray-allen,False,False,True,18.0,https://cdn.nba.com/headshots/nba/latest/1040x760/951.png,False,951,['GUARD'],GUARD,,1996,1,5,Drafted,allenra02
Timmy Allen,RET,,FORWARD,78.0,210.0,Texas,USA,2000-01-09,https://www.nba.com/player/1641851/timmy-allen,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641851.png,False,1641851,['FORWARD'],FORWARD,,0,0,0,UDF,allenti01
Tony Allen,RET,,GUARD-FORWARD,76.0,213.0,Oklahoma State,USA,1982-01-11,https://www.nba.com/player/2754/tony-allen,False,False,True,14.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2754.png,False,2754,"['GUARD', 'FORWARD']",GUARD,FORWARD,2004,1,25,Drafted,allento01
Odis Allison,RET,22,FORWARD,78.0,195.0,UNLV,USA,1949-10-02,https://www.nba.com/player/76029/HISTADD-odis-allison,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76029.png,True,76029,['FORWARD'],FORWARD,,1971,1,76,Drafted,allisod01
Lance Allred,RET,41,CENTER,83.0,250.0,Weber State,USA,1981-02-02,https://www.nba.com/player/200984/lance-allred,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/200984.png,False,200984,['CENTER'],CENTER,,0,0,0,UDF,allrela01
Darrell Allums,RET,32,FORWARD,80.0,220.0,UCLA,USA,1958-09-12,https://www.nba.com/player/76030/HISTADD-darrell-allums,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76030.png,True,76030,['FORWARD'],FORWARD,,1980,1,103,Drafted,allumda01
Morris Almond,RET,21,GUARD,78.0,225.0,Rice,USA,1985-02-02,https://www.nba.com/player/201165/morris-almond,False,False,True,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/201165.png,False,201165,['GUARD'],GUARD,,2007,1,25,Drafted,almonmo01
Derrick Alston,RET,,CENTER,83.0,225.0,Duquesne,USA,1972-08-20,https://www.nba.com/player/308/derrick-alston,False,False,True,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/308.png,False,308,['CENTER'],CENTER,,1994,2,33,Drafted,alstode01
Rafer Alston,RET,11,GUARD,74.0,175.0,Fresno State,USA,1976-07-24,https://www.nba.com/player/1747/rafer-alston,False,False,True,11.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1747.png,False,1747,['GUARD'],GUARD,,1998,2,39,Drafted,alstora01
Peter Aluma,RET,,CENTER,82.0,260.0,Liberty,USA,1973-04-26,https://www.nba.com/player/1824/peter-aluma,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1824.png,False,1824,['CENTER'],CENTER,,0,0,0,UDF,alumape01
Jose Alvarado,NOP,15,GUARD,72.0,179.0,Georgia Tech,USA,1998-04-12,https://www.nba.com/player/1630631/jose-alvarado,True,False,False,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630631.png,False,1630631,['GUARD'],GUARD,,0,0,0,UDF,alvarjo01
John Amaechi,RET,13,FORWARD-CENTER,82.0,270.0,Penn State,United Kingdom,1970-11-26,https://www.nba.com/player/680/john-amaechi,False,False,True,6.0,https://cdn.nba.com/headshots/nba/latest/1040x760/680.png,False,680,"['FORWARD', 'CENTER']",FORWARD,CENTER,0,0,0,UDF,amaecjo01
Ashraf Amaya,RET,,FORWARD,80.0,230.0,Southern Illinois,USA,1971-11-23,https://www.nba.com/player/732/ashraf-amaya,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/732.png,False,732,['FORWARD'],FORWARD,,0,0,0,UDF,amayaas01
Al-Farouq Aminu,RET,5,FORWARD,80.0,220.0,Wake Forest,USA,1990-09-21,https://www.nba.com/player/202329/al-farouq-aminu,False,False,True,12.0,https://cdn.nba.com/headshots/nba/latest/1040x760/202329.png,False,202329,['FORWARD'],FORWARD,,2010,1,8,Drafted,aminual01
Lou Amundson,RET,17,FORWARD,81.0,220.0,UNLV,USA,1982-12-07,https://www.nba.com/player/200811/lou-amundson,False,False,True,11.0,https://cdn.nba.com/headshots/nba/latest/1040x760/200811.png,False,200811,['FORWARD'],FORWARD,,0,0,0,UDF,amundlo01
Bob Anderegg,RET,18,FORWARD,75.0,200.0,Michigan State,USA,1937-08-24,https://www.nba.com/player/76034/HISTADD-bob-anderegg,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76034.png,True,76034,['FORWARD'],FORWARD,,1959,1,20,Drafted,anderbo01
Chris Andersen,RET,,FORWARD-CENTER,82.0,245.0,Blinn J.C.,USA,1978-07-07,https://www.nba.com/player/2365/chris-andersen,False,False,True,15.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2365.png,False,2365,"['FORWARD', 'CENTER']",FORWARD,CENTER,0,0,0,UDF,anderch01
David Andersen,RET,,NAN,,,FC Barcelona,Australia,1980-06-23,https://www.nba.com/player/2431/david-andersen,False,False,True,20.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2431.png,False,2431,['NAN'],NAN,,2002,2,36,Drafted,anderda01
Alan Anderson,RET,9,FORWARD-GUARD,78.0,220.0,Michigan State,USA,1982-10-16,https://www.nba.com/player/101187/alan-anderson,False,False,True,9.0,https://cdn.nba.com/headshots/nba/latest/1040x760/101187.png,False,101187,"['FORWARD', 'GUARD']",FORWARD,GUARD,0,0,0,UDF,anderal01
Antonio Anderson,RET,,GUARD,78.0,215.0,Memphis,USA,1985-06-05,https://www.nba.com/player/202079/antonio-anderson,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/202079.png,False,202079,['GUARD'],GUARD,,0,0,0,UDF,anderan01
Cliff Anderson,RET,26,GUARD,74.0,200.0,St. Joseph's (PA),USA,1944-09-07,https://www.nba.com/player/76035/HISTADD-cliff-anderson,False,False,True,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76035.png,True,76035,['GUARD'],GUARD,,1967,1,35,Drafted,andercl01
Daniel Anderson,RET,33,GUARD,74.0,185.0,Southern California,USA,1951-01-01,https://www.nba.com/player/76036/HISTADD-daniel-anderson,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76036.png,True,76036,['GUARD'],GUARD,,1974,1,92,Drafted,anderda02
Derek Anderson,RET,1,GUARD,77.0,195.0,Kentucky,USA,1974-07-18,https://www.nba.com/player/1507/derek-anderson,False,False,True,12.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1507.png,False,1507,['GUARD'],GUARD,,1997,1,13,Drafted,anderde01
Dwight Anderson,RET,20,GUARD,75.0,185.0,Southern California,USA,1960-12-28,https://www.nba.com/player/76037/HISTADD-dwight-anderson,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76037.png,True,76037,['GUARD'],GUARD,,1982,1,41,Drafted,anderdw01
Eric Anderson,RET,42,FORWARD,81.0,220.0,Indiana,USA,1970-05-26,https://www.nba.com/player/944/eric-anderson,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/944.png,False,944,['FORWARD'],FORWARD,,0,0,0,UDF,anderer01
Greg Anderson,RET,0,CENTER-FORWARD,82.0,250.0,Houston,USA,1964-06-22,https://www.nba.com/player/246/greg-anderson,False,False,True,10.0,https://cdn.nba.com/headshots/nba/latest/1040x760/246.png,False,246,"['CENTER', 'FORWARD']",CENTER,FORWARD,1987,1,23,Drafted,andergr01
